sentence_id,method,method_full_name,error_type,source_raw,target_raw,gold_tokenization,prediction_tokenization,local_gold_tokens,local_pred_tokens,local_span_start,local_span_end,local_raw_text,gold_internal_boundaries,pred_internal_boundaries,extra_boundaries,missing_boundaries,explanation,is_short_sentence,is_natural_example_candidate,notes,chunk_index
9,D,D Direct segmentation,over,这个巨大飞的物体停住了一会就又向天空快速地飞去。一闪而过，变成了一个形影一样的亮点，一点点地暗下去。,这个巨大的飞行物体停住了一会就又向天空快速地飞去。它一闪而过，变成了一个星星一样的亮点，然后一点点地暗了下去。,这个 巨大 飞 的 物体 停 住 了 一会 就 又 向 天空 快速 地 飞 去 。 一 闪 而 过 ， 变成 了 一个 形影 一样 的 亮点 ， 一点点 地 暗 下去 。,这个 巨大 飞 的 物体 停 住 了 一会 就 又 向 天空 快速 地 飞 去 。 一 闪 而 过 ， 变成 了 一个 形影 一样 的 亮 点 ， 一点点 地 暗 下去 。,亮点,亮 / 点,39,41,亮点,[],[40],[40],[],"The prediction inserts an extra boundary inside the gold token [亮点], producing [亮 / 点].",False,True,,1
14,D,D Direct segmentation,over,我觉得他很大胆，他不去外国。他觉得如果要改转变中国，所以就要从中国做的研究。,我觉得他很大胆，他不去外国。他觉得如果要改变中国，就要在中国做研究。,我 觉得 他 很 大胆 ， 他 不 去 外国 。 他 觉得 如果 要 改转变 中国 ， 所以 就 要 从 中国 做 的 研究 。,我 觉得 他 很 大胆 ， 他 不 去 外国 。 他 觉得 如果 要 改 转 变 中国 ， 所以 就 要 从 中国 做 的 研究 。,改转变,改 / 转 / 变,20,23,改转变,[],"[21, 22]","[21, 22]",[],"The prediction inserts an extra boundary inside the gold token [改转变], producing [改 / 转 / 变].",False,True,,1
26,D,D Direct segmentation,over,跟旅行困可以去野外看看野生动物。这是很有意思。在大自然里可以做名种名样放松的活动，比如瑜伽、爬山、打猎。,跟旅行团可以去野外看野生动物，这很有意思。在大自然里可以做各种各样放松的活动，比如瑜伽、爬山、打猎。,跟 旅行困 可以 去 野外 看看 野生 动物 。 这 是 很 有意思 。 在 大自然 里 可以 做 名种名样 放松 的 活动 ， 比如 瑜伽 、 爬山 、 打猎 。,跟 旅行 困 可以 去 野外 看看 野生 动物 。 这 是 很 有意思 。 在 大自然 里 可以 做 名种 名样 放松 的 活动 ， 比如 瑜伽 、 爬山 、 打猎 。,旅行困,旅行 / 困,1,4,旅行困,[],[3],[3],[],"The prediction inserts an extra boundary inside the gold token [旅行困], producing [旅行 / 困].",False,False,,1
26,D,D Direct segmentation,over,跟旅行困可以去野外看看野生动物。这是很有意思。在大自然里可以做名种名样放松的活动，比如瑜伽、爬山、打猎。,跟旅行团可以去野外看野生动物，这很有意思。在大自然里可以做各种各样放松的活动，比如瑜伽、爬山、打猎。,跟 旅行困 可以 去 野外 看看 野生 动物 。 这 是 很 有意思 。 在 大自然 里 可以 做 名种名样 放松 的 活动 ， 比如 瑜伽 、 爬山 、 打猎 。,跟 旅行 困 可以 去 野外 看看 野生 动物 。 这 是 很 有意思 。 在 大自然 里 可以 做 名种 名样 放松 的 活动 ， 比如 瑜伽 、 爬山 、 打猎 。,名种名样,名种 / 名样,31,35,名种名样,[],[33],[33],[],"The prediction inserts an extra boundary inside the gold token [名种名样], producing [名种 / 名样].",False,False,,2
28,D,D Direct segmentation,over,随着时代的潮流，流行歌曲对年轻的一代特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这见得流行歌曲对现代的青年真是一种渴求的音乐。,随着时代的潮流，年轻的一代对流行歌曲特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这足以见得流行歌曲对现代的青年来说真是一种渴求的音乐。,随着 时代 的 潮流 ， 流行歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行歌曲 对 现代 的 青年 真是 一 种 渴求 的 音乐 。,随着 时代 的 潮流 ， 流行 歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行 歌曲 对 现代 的 青年 真 是 一 种 渴求 的 音乐 。,流行歌曲,流行 / 歌曲,8,12,流行歌曲,[],[10],[10],[],"The prediction inserts an extra boundary inside the gold token [流行歌曲], producing [流行 / 歌曲].",False,True,,1
28,D,D Direct segmentation,over,随着时代的潮流，流行歌曲对年轻的一代特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这见得流行歌曲对现代的青年真是一种渴求的音乐。,随着时代的潮流，年轻的一代对流行歌曲特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这足以见得流行歌曲对现代的青年来说真是一种渴求的音乐。,随着 时代 的 潮流 ， 流行歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行歌曲 对 现代 的 青年 真是 一 种 渴求 的 音乐 。,随着 时代 的 潮流 ， 流行 歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行 歌曲 对 现代 的 青年 真 是 一 种 渴求 的 音乐 。,流行歌曲,流行 / 歌曲,59,63,流行歌曲,[],[61],[61],[],"The prediction inserts an extra boundary inside the gold token [流行歌曲], producing [流行 / 歌曲].",False,True,,2
28,D,D Direct segmentation,over,随着时代的潮流，流行歌曲对年轻的一代特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这见得流行歌曲对现代的青年真是一种渴求的音乐。,随着时代的潮流，年轻的一代对流行歌曲特别喜欢，甚至连歌星的名字都能刻在记忆上。每一首歌的曲子，谁唱的也顺口说出。这足以见得流行歌曲对现代的青年来说真是一种渴求的音乐。,随着 时代 的 潮流 ， 流行歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行歌曲 对 现代 的 青年 真是 一 种 渴求 的 音乐 。,随着 时代 的 潮流 ， 流行 歌曲 对 年轻 的 一代 特别 喜欢 ， 甚至 连 歌星 的 名字 都 能 刻 在 记忆 上 。 每 一 首 歌 的 曲子 ， 谁 唱 的 也 顺口 说 出 。 这 见 得 流行 歌曲 对 现代 的 青年 真 是 一 种 渴求 的 音乐 。,真是,真 / 是,69,71,真是,[],[70],[70],[],"The prediction inserts an extra boundary inside the gold token [真是], producing [真 / 是].",False,True,,3
45,D,D Direct segmentation,over,我自眼看见了：为了孩了。父母什么都作。,我亲眼看见了：为了孩子，父母什么都做。,我 自眼 看见 了 ： 为了 孩了 。 父母 什么 都 作 。,我 自 眼 看见 了 ： 为了 孩 了 。 父母 什么 都 作 。,自眼,自 / 眼,1,3,自眼,[],[2],[2],[],"The prediction inserts an extra boundary inside the gold token [自眼], producing [自 / 眼].",True,True,,1
45,D,D Direct segmentation,over,我自眼看见了：为了孩了。父母什么都作。,我亲眼看见了：为了孩子，父母什么都做。,我 自眼 看见 了 ： 为了 孩了 。 父母 什么 都 作 。,我 自 眼 看见 了 ： 为了 孩 了 。 父母 什么 都 作 。,孩了,孩 / 了,9,11,孩了,[],[10],[10],[],"The prediction inserts an extra boundary inside the gold token [孩了], producing [孩 / 了].",True,True,,2
49,D,D Direct segmentation,over,我高中同学之间有一些根本没有和女孩子讲过话，现在他们太不好意思讲，因此会出现同性恋这一类问题。实事上我高中同学之间的同性率算较高。,我高中同学之中有一些根本没有和女孩子讲过话的，现在他们也不太好意思讲，因此会出现同性恋这一类问题。事实上，我高中同学之中的同性恋率确实算是较高的。,我 高中 同学 之间 有 一些 根本 没有 和 女孩子 讲 过 话 ， 现在 他们 太 不好意思 讲 ， 因此 会 出现 同性恋 这 一 类 问题 。 实事上 我 高中 同学 之间 的 同性率 算 较 高 。,我 高中 同学 之间 有 一些 根本 没有 和 女孩子 讲 过 话 ， 现在 他们 太 不好意思 讲 ， 因此 会 出现 同性恋 这 一 类 问题 。 实事 上 我 高中 同学 之间 的 同性率 算 较 高 。,实事上,实事 / 上,47,50,实事上,[],[49],[49],[],"The prediction inserts an extra boundary inside the gold token [实事上], producing [实事 / 上].",False,True,,1
